"mileage","price","year","color","condition","state","soundSystem"
20266,56895,2012,"Black","CPO","CA","unsp"
10150,72998,2013,"Silver","CPO","NC","Premium"
5651,59999,2013,"Black","Used","TX","Harman Kardon"
77054,32992,2008,"White","Used","NJ","Premium"
69892,29999,2007,"Red","Used","MD","unsp"
21503,56500,2011,"Silver","CPO","MO","unsp"
29529,43500,2011,"Black","Used","WA","Premium"
35185,52950,2010,"Black","Used","MD","unsp"
27212,39995,2011,"Black","Used","NY","unsp"
56955,52995,2011,"Black","CPO","MI","unsp"
13,112365,2014,"Black","New","CA","Premium"
10,130335,2014,"Black","New","CA","unsp"
7,109375,2014,"Black","New","CA","unsp"
10,107085,2014,"Blue","New","PA","Premium"
9,107225,2014,"Black","New","IL","unsp"
97368,21860,2008,"Silver","Used","OK","Premium"
71734,26995,2007,"Black","Used","TX","Harman Kardon"
20387,49995,2010,"Black","Used","NC","unsp"
58458,43994,2010,"White","Used","GA","Premium"
32131,66990,2013,"White","Used","CA","unsp"
37868,56484,2013,"Silver","CPO","TN","Harman Kardon"
36304,56877,2012,"Black","CPO","SC","Premium"
52266,31985,2008,"Black","Used","FL","Premium"
43655,42995,2010,"Black","Used","TX","Premium"
55900,44995,2010,"Black","Used","NY","Premium"
19362,59998,2012,"Black","CPO","NY","unsp"
13665,64469,2013,"Blue","CPO","CT","Premium"
28060,59927,2012,"Black","CPO","NY","unsp"
10,109571,2014,"Black","New","NC","unsp"
10,117365,2014,"Black","New","MA","unsp"
14,119635,2014,"Blue","New","IA","Premium"
10,126515,2014,"Silver","New","NY","unsp"
51099,38900,2008,"Blue","Used","CA","Premium"
17363,62000,2012,"Black","Used","IL","Harman Kardon"
35484,56975,2012,"Black","CPO","CA","unsp"
15181,72881,2013,"White","Used","FL","unsp"
81215,24917,2008,"unsp","Used","FL","Harman Kardon"
57482,40988,2011,"Black","Used","MI","Premium"
27685,55991,2011,"Black","CPO","PA","Premium"
18227,57991,2011,"Black","Used","IL","Harman Kardon"
24833,58800,2013,"Black","Used","IL","unsp"
28468,54950,2012,"Black","Used","TX","unsp"
15128,92850,2014,"Black","Used","TX","unsp"
6,116040,2014,"Black","New","FL","unsp"
84536,27939,2007,"Gray","Used","NC","unsp"
65667,28895,2008,"Black","Used","NY","Premium"
67656,40888,2010,"Blue","Used","CA","unsp"
23137,59992,2012,"Black","CPO","FL","Harman Kardon"
16279,62950,2013,"Black","Used","AZ","Harman Kardon"
27221,39999,2012,"Black","Used","GA","unsp"
43899,49994,2011,"Black","CPO","NC","unsp"
21000,56995,2012,"Black","Used","CA","Harman Kardon"
19562,69910,2012,"Black","CPO","CA","unsp"
56,104225,2014,"Black","New","CA","unsp"
6,121575,2014,"Blue","New","CA","unsp"
25,98325,2014,"Silver","New","HI","Premium"
6,111920,2014,"White","New","IL","unsp"
68176,30789,2007,"White","Used","TX","unsp"
18144,32991,2007,"Black","Used","CA","Harman Kardon"
133818,23999,2007,"Black","Used","CA","unsp"
60000,33933,2009,"Black","CPO","OR","Harman Kardon"
94008,24663,2008,"Gray","Used","NJ","Harman Kardon"
59844,33999,2009,"Black","Used","GA","Premium"
43516,45998,2011,"Black","CPO","NC","Premium"
15976,76991,2013,"White","CPO","NJ","Premium"
5,109375,2014,"Black","New","CA","unsp"
11,106670,2014,"White","New","CA","Premium"
20,108625,2014,"unsp","New","AZ","unsp"
50,128275,2014,"Black","New","NJ","unsp"
6,105770,2014,"White","New","NY","unsp"
10,101815,2014,"Black","New","NY","Premium"
12,116820,2014,"Black","New","NJ","Premium"
69537,25995,2008,"Gray","Used","CA","Premium"
105304,28995,2008,"White","Used","TX","unsp"
84400,22900,2007,"White","Used","IL","unsp"
46968,47991,2011,"White","Used","FL","unsp"
40251,42000,2010,"Brown","Used","TX","Harman Kardon"
20686,59950,2011,"Gray","CPO","TX","Harman Kardon"
38390,41999,2010,"Black","Used","TX","Harman Kardon"
53888,38995,2010,"White","Used","FL","Harman Kardon"
15986,67888,2012,"Black","CPO","GA","Harman Kardon"
7982,57995,2012,"Silver","Used","TX","Harman Kardon"
21142,52990,2013,"Black","Used","GA","unsp"
64146,32900,2008,"White","Used","GA","unsp"
58616,38880,2010,"Blue","Used","GA","Premium"
25551,54995,2012,"White","CPO","CT","Premium"
9997,67965,2013,"Black","Used","MO","Harman Kardon"
50,112930,2014,"Black","New","NJ","Premium"
40,113335,2014,"Black","New","NJ","Premium"
89503,27990,2008,"Silver","Used","GA","Harman Kardon"
59185,29877,2007,"Silver","Used","IL","Premium"
48761,23995,2007,"unsp","Used","NJ","Premium"
59404,26897,2007,"Black","Used","MD","unsp"
605,89900,2013,"White","Used","FL","Premium"
19167,68999,2013,"Black","CPO","TN","Harman Kardon"
29674,52991,2012,"Black","Used","GA","unsp"
11661,69995,2013,"White","Used","FL","Harman Kardon"
65551,33990,2008,"Black","Used","MA","unsp"
22338,48999,2011,"White","Used","OH","Premium"
38086,48799,2011,"Black","CPO","PA","Premium"
76295,36495,2011,"Black","Used","NY","unsp"
14138,58944,2011,"Black","Used","IL","Premium"
35084,49995,2012,"Black","Used","MD","unsp"
17859,61479,2012,"Black","CPO","PA","Premium"
37638,62951,2013,"Black","Used","MD","unsp"
23952,62995,2013,"Black","Used","NY","Premium"
31071,50984,2012,"Silver","CPO","PA","Premium"
12750,70427,2013,"Black","Used","PA","Premium"
11,101485,2014,"Black","New","FL","unsp"
20,102125,2014,"Blue","New","CA","unsp"
5,101261,2014,"White","New","IL","Premium"
63062,32930,2008,"Silver","Used","FL","unsp"
73459,27988,2007,"Black","Used","TN","unsp"
48535,34300,2009,"unsp","Used","SC","Premium"
57156,20588,2007,"Silver","Used","NC","unsp"
89460,42988,2010,"unsp","Used","FL","unsp"
66676,40993,2010,"White","Used","CA","unsp"
19677,55391,2011,"Black","Used","FL","unsp"
18649,64991,2013,"Silver","CPO","FL","Premium"
58397,48998,2012,"White","Used","CA","Premium"
7700,63750,2013,"Blue","Used","TN","Harman Kardon"
25343,41374,2008,"Black","Used","PA","Premium"
78832,34995,2009,"Gray","Used","IL","Harman Kardon"
67779,27200,2008,"Black","Used","PA","Premium"
71675,35995,2010,"Silver","Used","NJ","unsp"
127,103000,2013,"White","Used","OR","Bang Olufsen"
19445,64950,2013,"Gray","CPO","MO","Harman Kardon"
53125,46499,2012,"Black","Used","PA","Premium"
15341,57995,2012,"Black","Used","NJ","Harman Kardon"
48059,49995,2013,"Black","Used","NY","unsp"
504,116800,2014,"Black","Used","TX","Premium"
2260,89998,2014,"Silver","Used","GA","Premium"
12,107880,2014,"Blue","New","FL","Premium"
14,107085,2014,"Silver","New","CO","unsp"
10,110515,2014,"Silver","New","PA","Premium"
69311,26995,2008,"Black","Used","TX","Harman Kardon"
26361,58792,2012,"White","CPO","FL","unsp"
12774,65981,2012,"Black","CPO","CA","unsp"
69382,29000,2007,"Black","Used","IA","unsp"
62196,29995,2007,"Black","Used","PA","Premium"
