"","time","COAST","temp","weekday"
"372","2010-07-08 10:00:00",10932.0418368064,28.1,1
"373","2010-07-08 11:00:00",11376.8627621494,24.1,1
"374","2010-07-08 12:00:00",11806.3295711346,24.6,1
"375","2010-07-08 13:00:00",11833.4278113251,26.1,1
"376","2010-07-08 14:00:00",11866.9737809588,26.1,1
"377","2010-07-08 15:00:00",11848.2304824788,27.1,1
"378","2010-07-08 16:00:00",11944.0793389474,26.6,1
"379","2010-07-08 17:00:00",12128.0989732969,25.1,1
"380","2010-07-08 18:00:00",12128.4265250331,25.1,1
"381","2010-07-09 09:00:00",10744.9945849508,26.1,1
"382","2010-07-09 10:00:00",11602.7908900018,26.1,1
"383","2010-07-09 11:00:00",12433.7193614244,27.1,1
"384","2010-07-09 12:00:00",13191.534254071,27.1,1
"385","2010-07-09 13:00:00",13672.8809382334,28.1,1
"386","2010-07-09 14:00:00",14129.5331567451,28.1,1
"387","2010-07-09 15:00:00",14521.1623952557,29.1,1
"388","2010-07-09 16:00:00",14844.9016804544,31.1,1
"389","2010-07-09 17:00:00",15150.4408416506,32.1,1
"390","2010-07-09 18:00:00",15047.4368918735,32.1,1
"391","2010-07-10 09:00:00",9985.2210283862,25.1,0
"392","2010-07-10 10:00:00",11074.9504079481,24.1,0
"393","2010-07-10 11:00:00",12002.0785499235,24.1,0
"394","2010-07-10 12:00:00",13012.3568385128,27.1,0
"395","2010-07-10 13:00:00",13804.3639557607,28.1,0
"396","2010-07-10 14:00:00",14439.3860153529,28.6,0
"397","2010-07-10 15:00:00",14855.0467066861,30.1,0
"398","2010-07-10 16:00:00",15103.9053729119,31.1,0
"399","2010-07-10 17:00:00",15283.5605387165,32.1,0
"400","2010-07-10 18:00:00",15157.8909846718,32.1,0
"401","2010-07-11 09:00:00",9843.71454761157,25.1,0
"402","2010-07-11 10:00:00",10884.2404222521,24.1,0
"403","2010-07-11 11:00:00",12099.962526343,24.1,0
"404","2010-07-11 12:00:00",13151.4516817097,26.1,0
"405","2010-07-11 13:00:00",13922.8075319896,28.1,0
"406","2010-07-11 14:00:00",14447.6746528883,28.6,0
"407","2010-07-11 15:00:00",14887.6332411911,29.6,0
"408","2010-07-11 16:00:00",15188.5486447574,31.1,0
"409","2010-07-11 17:00:00",15366.7403059464,32.1,0
"410","2010-07-11 18:00:00",15327.434205672,32.1,0
"411","2010-07-12 09:00:00",11544.9205725042,26.1,1
"412","2010-07-12 10:00:00",12497.9230947642,25.1,1
"413","2010-07-12 11:00:00",13559.1444864568,25.1,1
"414","2010-07-12 12:00:00",14409.8972855855,27.1,1
"415","2010-07-12 13:00:00",15114.6097314457,29.1,1
"416","2010-07-12 14:00:00",15731.3214106432,29.1,1
"417","2010-07-12 15:00:00",16147.3628234296,31.1,1
"418","2010-07-12 16:00:00",16348.0722219372,32.1,1
"419","2010-07-12 17:00:00",16364.3964708661,33.1,1
"420","2010-07-12 18:00:00",16225.5144606488,33.1,1
"421","2010-07-13 09:00:00",11744.9633884515,26.1,1
"422","2010-07-13 10:00:00",12732.1522760127,27.1,1
"423","2010-07-13 11:00:00",13846.611794123,27.1,1
"424","2010-07-13 12:00:00",14793.2943560034,28.1,1
"425","2010-07-13 13:00:00",15401.3413514975,29.1,1
"426","2010-07-13 14:00:00",15897.4481775657,30.1,1
"427","2010-07-13 15:00:00",16356.1880494243,31.1,1
"428","2010-07-13 16:00:00",16551.3329625508,32.1,1
"429","2010-07-13 17:00:00",16557.6618267571,33.1,1
"430","2010-07-13 18:00:00",16395.5324186113,33.1,1
"431","2010-07-14 09:00:00",11904.2337746392,26.1,1
"432","2010-07-14 10:00:00",12960.980512882,25.1,1
"433","2010-07-14 11:00:00",13963.0953595558,26.1,1
"434","2010-07-14 12:00:00",14815.2801580313,27.1,1
"435","2010-07-14 13:00:00",15371.8288209994,29.1,1
"436","2010-07-14 14:00:00",15929.4383385955,31.1,1
"437","2010-07-14 15:00:00",16486.2433702276,31.1,1
"438","2010-07-14 16:00:00",16771.4295298299,32.1,1
"439","2010-07-14 17:00:00",16894.3713888633,33.1,1
"440","2010-07-14 18:00:00",16786.651905594,34.1,1
"441","2010-07-15 09:00:00",11550.3306070697,26.1,1
"442","2010-07-15 10:00:00",12727.6465697923,25.1,1
"443","2010-07-15 11:00:00",13741.9069411638,26.1,1
"444","2010-07-15 12:00:00",14687.0313180242,27.1,1
"445","2010-07-15 13:00:00",15443.8588936484,28.1,1
"446","2010-07-15 14:00:00",16079.8678718415,30.1,1
"447","2010-07-15 15:00:00",16575.2119974332,31.1,1
"448","2010-07-15 16:00:00",16885.7142337088,32.1,1
"449","2010-07-15 17:00:00",17046.1428153399,32.1,1
"450","2010-07-15 18:00:00",16917.1602202811,33.1,1
"451","2010-07-16 09:00:00",11494.3156854339,27.1,1
"452","2010-07-16 10:00:00",12550.388387789,26.1,1
"453","2010-07-16 11:00:00",13576.7866186636,26.1,1
"454","2010-07-16 12:00:00",14620.8945907078,27.1,1
"455","2010-07-16 13:00:00",15369.6490020928,29.1,1
"456","2010-07-16 14:00:00",16059.7346334561,30.1,1
"457","2010-07-16 15:00:00",16603.9662317537,31.1,1
"458","2010-07-16 16:00:00",16896.5209450639,32.1,1
"459","2010-07-16 17:00:00",17032.55735904,33.1,1
"460","2010-07-16 18:00:00",16839.4213197971,34.1,1
"461","2010-07-17 09:00:00",10820.0799162116,26.1,0
"462","2010-07-17 10:00:00",11971.3718124052,26.1,0
"463","2010-07-17 11:00:00",12934.7428399234,26.1,0
"464","2010-07-17 12:00:00",13960.3438531021,27.1,0
"465","2010-07-17 13:00:00",14685.3737770886,29.1,0
"466","2010-07-17 14:00:00",15181.0025876643,30.1,0
